id,name,date,value
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T04:00Z,43098
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T05:00Z,42514
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T06:00Z,41839
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T07:00Z,40021
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T08:00Z,39668
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T09:00Z,39612
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T10:00Z,39909
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T11:00Z,40644
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T12:00Z,41746
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T13:00Z,43450
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T14:00Z,44774
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T15:00Z,44767
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T16:00Z,43189
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T17:00Z,41593
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T18:00Z,39664
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T19:00Z,38080
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T20:00Z,36892
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T21:00Z,35938
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T22:00Z,35618
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-03T23:00Z,36051
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04,37698
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T01:00Z,40335
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T02:00Z,40998
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T03:00Z,41098
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T04:00Z,40615
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T05:00Z,39533
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T06:00Z,38047
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T07:00Z,35757
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T08:00Z,35264
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T09:00Z,35298
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T10:00Z,35893
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T11:00Z,37322
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T12:00Z,40146
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T13:00Z,44146
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T14:00Z,45940
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T15:00Z,44856
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T16:00Z,43597
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T17:00Z,42186
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T18:00Z,40664
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T19:00Z,39470
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T20:00Z,38802
EBA.TEX-ALL.DF.H,"Day-ahead demand forecast for Texas (region), hourly - UTC time",2021-01-04T21:00Z,38214
